epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1641.8,0.7236,0.34498,1.02441,0.99268,0.99415,0.99487,0.82412,0.725,0.2788,1.05186,0.0011882,0.0011882,0.0011882
43,1679.89,0.72613,0.34276,1.02455,0.99383,0.99532,0.99495,0.83794,0.70639,0.26879,1.04035,0.0011684,0.0011684,0.0011684
44,1718.08,0.71868,0.34237,1.02198,0.99919,0.99297,0.995,0.84057,0.7046,0.26878,1.03525,0.0011486,0.0011486,0.0011486
45,1756.23,0.72464,0.34833,1.0245,0.99122,0.99649,0.99494,0.83964,0.69585,0.26921,1.03044,0.0011288,0.0011288,0.0011288
46,1794.36,0.71825,0.34155,1.01763,0.99186,0.99876,0.99488,0.83824,0.71012,0.27165,1.03973,0.001109,0.001109,0.001109
47,1832.38,0.71922,0.34506,1.02374,0.99414,0.99396,0.99489,0.83961,0.70281,0.27554,1.03207,0.0010892,0.0010892,0.0010892
48,1870.49,0.71586,0.34399,1.01758,0.99364,0.99766,0.99482,0.84714,0.69013,0.26368,1.02603,0.0010694,0.0010694,0.0010694
49,1908.57,0.70055,0.32897,1.01143,0.993,0.9962,0.99495,0.85093,0.67824,0.25786,1.01781,0.0010496,0.0010496,0.0010496
50,1946.67,0.71663,0.34019,1.02225,0.99069,0.99666,0.99493,0.83731,0.70639,0.26365,1.03902,0.0010298,0.0010298,0.0010298
51,1984.8,0.71687,0.33949,1.01945,0.99765,0.99445,0.99499,0.85249,0.67809,0.2579,1.02334,0.00101,0.00101,0.00101
52,2023,0.69226,0.32656,1.01139,0.99299,0.99556,0.99496,0.83714,0.69164,0.26596,1.034,0.0009902,0.0009902,0.0009902
53,2061.26,0.70894,0.33317,1.01654,0.99273,0.99883,0.99496,0.84334,0.67762,0.25457,1.01829,0.0009704,0.0009704,0.0009704
54,2099.46,0.69725,0.32647,1.01021,0.99501,0.99649,0.99494,0.85078,0.68831,0.25532,1.02741,0.0009506,0.0009506,0.0009506
55,2137.53,0.70002,0.3327,1.02086,0.99417,0.99866,0.99495,0.84774,0.67982,0.27592,1.02348,0.0009308,0.0009308,0.0009308
